,Unnamed: 0,firm,kiscode,kiscode_tf,business
0,0,DB손해보험(주),870099,870099,2018145593
1,1,(주)DB하이텍,350354,350354,2118110771
2,2,DB금융투자(주),821640,821640,1168159557
3,3,(주)디비아이엔씨,352098,352098,2118119938
4,4,(주)디비메탈,B97776,12097776,1208724194
5,5,디비자동차보험손해사정(주),820466,820466,2018145614
6,6,디비씨앤에스자동차손해사정(주),H04172,18004172,2018620049
7,7,디비씨에이에스손해사정(주),H31283,18031283,1048634107
8,8,디비생명보험(주),821420,821420,2028118158
9,9,디비에프아이에스(주),M38019,24038019,1208821855
10,10,(주)디비저축은행,881562,881562,1018105267
11,11,디비자산운용(주),607142,607142,1168162902
12,12,(주)디비월드,910813,910813,2148112142
13,13,디비캐피탈(주),056018,56018,2028152893
14,14,디비씨에스아이손해사정(주),H31282,18031282,2208814649
15,15,디비인베스트(주),F03715,16003715,1208746859
16,16,디비금융서비스(주),L44292,23044292,1048653216
17,17,디비엠앤에스(주),I98370,19098370,1048647015
18,18,동부철구(주),065122,65122,1268113844
19,19,디비스탁인베스트(주),I71407,19071407,1208789751
0,0,OCI(주),350184,350184,5068100069
1,1,(주)유니드,350214,350214,1048124846
2,2,SGC에너지(주),360066,360066,2148189700
3,3,에스지씨이테크건설(주),501913,501913,2148189369
4,4,오씨아이에스이(주),I66468,19066468,4018147852
5,5,(주)유니드글로벌상사,041409,41409,1048129104
6,6,오씨아이파워(주),I71409,19071409,1048644532
7,7,오씨아이페로(주),197845,197845,1048167850
8,8,(주)디씨알이,C13114,13013114,1218190282
9,9,오씨아이스페셜티(주),C89695,13089695,3128608587
10,10,에스지씨디벨롭먼트(주),H78735,18078735,4018144627
11,11,에스지씨그린파워(주),M38690,24038690,4018156346
12,12,에스지씨솔루션(주),LX4402,2303604402,4308701929
13,13,오씨아이정보통신(주),720992,720992,1048141995
14,14,(주)유니드엘이디,H33122,18033122,1048634922
15,15,비앤오바이오(주),JF0888,2101600888,2098601051
16,16,오씨아이드림(주),JS3289,2103103289,5488601432
17,17,행복도시태양광발전소(주),J00949,21000949,1448111053
18,18,군장에너지(주),197844,197844,4018120998
0,0,(주)남선알미늄,380040,380040,5028100107
1,1,대한해운(주),720186,720186,1018124624
2,2,(주)티케이케미칼,B99515,12099515,1078701960
3,3,경남기업(주),500720,500720,1168105522
4,4,삼환기업(주),500267,500267,1018100452
5,5,에스엠상선(주),039911,39911,1388101773
6,6,에스엠인더스트리(주),768600,768600,6228100191
7,7,(주)에스엠화진,036144,36144,5058120567
8,8,에스엠스틸(주),758655,758655,1308130288
9,9,에스엠중공업(주),102419,102419,1238137226
10,10,(주)우방,C71534,13071534,5148164671
11,11,동아건설산업(주),500135,500135,1108100214
12,12,에스엠신용정보(주),125536,125536,1108142932
13,13,(주)벡셀,F17483,16017483,5138158593
14,14,대한상선(주),720364,720364,1028119430
15,15,(주)삼라,500429,500429,2148106859
16,16,한덕철광산업(주),185895,185895,2258113326
17,17,(주)이엔에이치,500298,500298,1248630842
18,18,(주)울산방송,817538,817538,6108126897
19,19,케이엘씨에스엠(주),029416,29416,6018126632
20,20,에스엠하이플러스(주),494219,494219,1298611103
21,21,(주)태길종합건설,122702,122702,1208185544
22,22,신촌역사(주),194172,194172,1068165203
23,23,에스엠에이엠씨투자대부(주),199741,199741,1108150825
24,24,(주)남선홀딩스,JJ9442,2102109442,6598601386
25,25,(주)삼라마이다스,C89174,13089174,4098135379
26,26,서남바이오에너지(주),J64354,21064354,1058788753
27,27,(주)케이알티산업,JH5828,2101805828,6918101143
28,28,(주)라도,L84005,23084005,1078821186
29,29,(주)케이엘홀딩스,J93689,21093689,4088604617
30,30,에스엠상선광양터미널(주),F22377,16022377,4168172708
31,31,(주)한통엔지니어링,502189,502189,1068106112
32,32,코리코엔터프라이스(주),028665,28665,6018110367
33,33,에스엠상선경인터미널(주),H70873,18070873,1218610342
34,34,한국선박금융(주),245746,245746,1018191439
35,35,(주)에스엠글로벌유통,C59129,13059129,1228161081
36,36,(주)바로코사,159679,159679,1358138548
37,37,이코사주류(주),080454,80454,2158142538
38,38,(주)에스엠화진인터내셔널,474783,474783,5058142163
39,39,(주)에스씨파워텍,I27599,19027599,1388137951
40,40,(주)에이치제이피,IT4964,1903204964,8388700823
41,41,농업회사법인(주)삼라농원,J16022,21016022,1078793816
42,42,대림종합건설더블유(주),JG3916,2101703916,7338701115
43,43,대한해운엘엔지(주),LJ0576,2302100576,8248701648
44,44,성우종합건설더블유(주),IW1097,1903501097,3938600814
45,45,신촌역사개발(주),JW3827,2103503827,1328801357
46,46,신화디앤디(주),IT6118,1903206118,5748800606
47,47,에스엠레저산업(주),JS3328,2103103328,7358801326
48,48,우방산업(주),LH6735,2301806735,2838801785
49,49,탑스텐동강시스타(주),JY4102,2103704102,3848601686
50,50,태초이앤씨(주),IS0726,1903100726,6888700908
51,51,판교에스디쓰리(주),G70717,17070717,1018657979
52,52,프런티어인베스트먼트(주),IY9476,1903709476,3288800793
53,53,플러스매니지먼트(주),JJ3653,2102103653,1128601155
54,54,(주)한울코퍼레이션,EE8128,1501508128,5218100087
55,55,우방토건(주),369287,369287,5158127214
56,56,(주)델라노체,M39647,24039647,1228645145
57,57,(주)유피아이인터내셔널,HL1549,1802301549,2388800277
58,58,삼라산업개발(주),134979,134979,4098136494
0,0,효성아이티엑스(주),157533,157533,1208173505
1,1,효성중공업(주),JD2262,2101402262,5788700896
2,2,효성티앤씨(주),JD2232,2101402232,8808701070
3,3,효성화학(주),JD2253,2101402253,1758801164
4,4,효성첨단소재(주),JD2230,2101402230,1988700929
5,5,(주)효성,320218,320218,1058159519
6,6,진흥기업(주),500704,500704,1068132769
7,7,(주)갤럭시아에스엠,320358,320358,1348102367
8,8,신화인터텍(주),006687,6687,1248135935
9,9,갤럭시아머니트리(주),053527,53527,1208160844
10,10,효성캐피탈(주),155675,155675,1058187072
11,11,효성티앤에스(주),820806,820806,1208130675
12,12,더클래스효성(주),224250,224250,2148742196
13,13,효성굿스프링스(주),451231,451231,1058161015
14,14,(주)엔에이치테크,215712,215712,2118730541
15,15,효성인포메이션시스템(주),384240,384240,1208102941
16,16,(주)에프엠케이,C34606,13034606,2118797896
